intersection_id,time_bin,vehicle_count,avg_speed,congestion_score,current_green,fuzzy_delta,suggested_green_fuzzy
"(('7116487491', 0, 490.7873689632023, 'y'),)",2025-09-09 00:13:10,1,61.85,0.0,20.0,0.0,20.0
"(('7116487491', 0, 495.7215181736679, 'y'), ('cluster_1864383430_246182050_4745948567_4745948571_#4more', 0, 1799.4715181736676, 'r'), ('cluster_3864247789_4605891082_4605891085_4605891087_#11more', 10, 2034.8515181736675, 'G'), ('cluster_3681802616_8393114933', 4, 2224.6015181736675, 'G'))",2025-09-09 00:13:20,1,67.68,0.0,10.0,0.0,10.0
"(('7116487491', 0, 505.7415941444132, 'G'), ('cluster_1864383430_246182050_4745948567_4745948571_#4more', 0, 1809.491594144413, 'G'), ('cluster_3864247789_4605891082_4605891085_4605891087_#11more', 6, 2044.871594144413, 'r'))",2025-09-09 00:13:20,1,70.23,0.0,10.0,0.0,10.0
"(('7116487491', 0, 507.96758361956523, 'y'),)",2025-09-09 00:13:10,1,59.24,0.0,20.0,0.0,20.0
"(('7116487491', 0, 514.5211514374026, 'y'), ('cluster_1864383430_246182050_4745948567_4745948571_#4more', 0, 1818.2711514374025, 'r'), ('cluster_3864247789_4605891082_4605891085_4605891087_#11more', 10, 2053.6511514374024, 'G'), ('cluster_3681802616_8393114933', 4, 2243.4011514374024, 'G'))",2025-09-09 00:13:20,1,59.7,0.0,10.0,0.0,10.0
"(('7116487491', 0, 52.33383889608944, 'G'),)",2025-09-09 00:13:10,1,59.76,0.0,20.0,0.0,20.0
"(('7116487491', 0, 524.4225877798899, 'y'),)",2025-09-09 00:13:10,1,57.02,0.0,20.0,0.0,20.0
"(('7116487491', 0, 525.2487790727101, 'G'), ('cluster_1864383430_246182050_4745948567_4745948571_#4more', 0, 1828.99877907271, 'G'), ('cluster_3864247789_4605891082_4605891085_4605891087_#11more', 6, 2064.37877907271, 'r'))",2025-09-09 00:13:20,1,66.43,0.0,10.0,0.0,10.0
"(('7116487491', 0, 53.406329639755334, 'y'), ('cluster_1864383430_246182050_4745948567_4745948571_#4more', 0, 1357.1563296397555, 'G'), ('cluster_3864247789_4605891082_4605891085_4605891087_#11more', 6, 1592.5363296397554, 'y'))",2025-09-09 00:13:20,1,68.81,0.0,10.0,0.0,10.0
"(('7116487491', 0, 531.1041209954401, 'y'), ('cluster_1864383430_246182050_4745948567_4745948571_#4more', 0, 1834.8541209954399, 'r'), ('cluster_3864247789_4605891082_4605891085_4605891087_#11more', 10, 2070.2341209954398, 'G'), ('cluster_3681802616_8393114933', 4, 2259.9841209954398, 'G'))",2025-09-09 00:13:20,1,53.07,0.0,10.0,0.0,10.0
"(('7116487491', 0, 540.2620451711157, 'y'),)",2025-09-09 00:13:10,1,52.06,0.0,20.0,0.0,20.0
"(('7116487491', 0, 543.7001879252908, 'G'), ('cluster_1864383430_246182050_4745948567_4745948571_#4more', 0, 1847.4501879252907, 'G'), ('cluster_3864247789_4605891082_4605891085_4605891087_#11more', 6, 2082.830187925291, 'r'))",2025-09-09 00:13:20,1,70.32,0.0,10.0,0.0,10.0
"(('7116487491', 0, 545.8458815918947, 'y'), ('cluster_1864383430_246182050_4745948567_4745948571_#4more', 0, 1849.5958815918946, 'r'), ('cluster_3864247789_4605891082_4605891085_4605891087_#11more', 10, 2084.9758815918944, 'G'), ('cluster_3681802616_8393114933', 4, 2274.7258815918944, 'G'))",2025-09-09 00:13:20,1,47.61,0.0,10.0,0.0,10.0
"(('7116487491', 0, 55.07612238101722, 'r'), ('cluster_1864383430_246182050_4745948567_4745948571_#4more', 0, 1358.8261223810175, 'G'), ('cluster_3864247789_4605891082_4605891085_4605891087_#11more', 10, 1594.2061223810174, 'g'), ('cluster_3681802616_8393114933', 4, 1783.9561223810174, 'r'))",2025-09-09 00:13:20,1,68.39,0.0,10.0,0.0,10.0
"(('7116487491', 0, 554.7230601085156, 'y'),)",2025-09-09 00:13:10,1,46.16,0.0,20.0,0.0,20.0
"(('7116487491', 0, 563.2348764105553, 'G'), ('cluster_1864383430_246182050_4745948567_4745948571_#4more', 0, 1866.9848764105554, 'G'), ('cluster_3864247789_4605891082_4605891085_4605891087_#11more', 6, 2102.3648764105556, 'r'))",2025-09-09 00:13:20,1,68.31,0.0,10.0,0.0,10.0
"(('7116487491', 0, 567.5461554046759, 'G'),)",2025-09-09 00:13:10,1,38.71,0.0,20.0,0.0,20.0
"(('7116487491', 0, 578.2976440038105, 'G'),)",2025-09-09 00:13:10,1,29.56,0.0,20.0,0.0,20.0
"(('7116487491', 0, 582.2096337416433, 'r'), ('cluster_1864383430_246182050_4745948567_4745948571_#4more', 0, 1885.9596337416433, 'G'), ('cluster_3864247789_4605891082_4605891085_4605891087_#11more', 6, 2121.3396337416434, 'r'))",2025-09-09 00:13:20,1,68.75,0.0,10.0,0.0,10.0
"(('7116487491', 0, 586.5083265302741, 'G'),)",2025-09-09 00:13:10,1,20.24,0.0,20.0,0.0,20.0
"(('7116487491', 0, 592.131222393973, 'G'),)",2025-09-09 00:13:10,1,13.05,0.0,20.0,0.0,20.0
"(('7116487491', 0, 595.7550460799869, 'G'),)",2025-09-09 00:13:10,1,5.39,0.0,20.0,0.0,20.0
"(('7116487491', 0, 68.93459505824731, 'G'),)",2025-09-09 00:13:10,1,60.74,0.0,20.0,0.0,20.0
"(('7116487491', 0, 72.52109950857786, 'y'), ('cluster_1864383430_246182050_4745948567_4745948571_#4more', 0, 1376.2710995085781, 'r'), ('cluster_3864247789_4605891082_4605891085_4605891087_#11more', 6, 1611.6510995085782, 'y'))",2025-09-09 00:13:20,1,66.71,0.0,10.0,0.0,10.0
"(('7116487491', 0, 74.07334159821343, 'r'), ('cluster_1864383430_246182050_4745948567_4745948571_#4more', 0, 1377.8233415982136, 'G'), ('cluster_3864247789_4605891082_4605891085_4605891087_#11more', 10, 1613.2033415982137, 'g'), ('cluster_3681802616_8393114933', 4, 1802.9533415982137, 'r'))",2025-09-09 00:13:20,1,69.28,0.0,10.0,0.0,10.0
"(('7116487491', 0, 85.8076880448996, 'G'),)",2025-09-09 00:13:10,1,59.84,0.0,20.0,0.0,20.0
"(('7116487491', 0, 9.484343837062381, 'y'), ('cluster_1864383430_246182050_4745948567_4745948571_#4more', 0, 1313.2343438370626, 'G'), ('cluster_3864247789_4605891082_4605891085_4605891087_#11more', 6, 1548.6143438370627, 'r'))",2025-09-09 00:13:20,1,38.39,0.0,10.0,0.0,10.0
"(('7116487491', 0, 91.05193304556016, 'G'), ('cluster_1864383430_246182050_4745948567_4745948571_#4more', 0, 1394.8019330455602, 'r'), ('cluster_3864247789_4605891082_4605891085_4605891087_#11more', 6, 1630.18193304556, 'G'))",2025-09-09 00:13:20,1,68.56,0.0,10.0,0.0,10.0
"(('7116487491', 0, 93.31831991639072, 'r'), ('cluster_1864383430_246182050_4745948567_4745948571_#4more', 0, 1397.0683199163907, 'G'), ('cluster_3864247789_4605891082_4605891085_4605891087_#11more', 10, 1632.4483199163906, 'g'), ('cluster_3681802616_8393114933', 4, 1822.1983199163906, 'r'))",2025-09-09 00:13:20,1,68.23,0.0,10.0,0.0,10.0
